"Source:","/home/joerg/repos/OpenBLDC/joewa/ChibiESC/hardware/design/DrChibi.sch"
"Date:","Mo 24 Okt 2016 14:15:12 CEST"
"Tool:","Eeschema no-vcs-found-undefined"
"Generator:","/home/joerg/kicad/bom-in-python/bom_csv_grouped_by_value.py"
"Component Count:","183"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","Manufacturer","Part Number"
"","","Dclamp1","D_Schottky_x2_Serial_AKC__BAT754S","device:D_Schottky_x2_Serial_AKC","TO_SOT_Packages_SMD:SOT-23","","","NXP","BAT754S"
"","","Dusb1","BAT46WH","DrChibi-cache:BAT46WH","Diodes_SMD:SOD-123","","","NXP","BAT46WH"
"","","P1","CONN_02X05","conn:CONN_02X05","Pads:Pin_Header_Straight_2x05_Pitch1.27mm","","","",""
"","","P2","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","P3","IN+","DrChibi-cache:CONN_1","Pads:1PAD_3x6mm","","","",""
"","","P4","IN-","DrChibi-cache:CONN_1","Pads:1PAD_3.5x6mm","","","",""
"","","P5","CONN_01X04","conn:CONN_01X04","Connectors_Molex:Connector_Molex_PicoBlade_53261-0471","","","Molex","PicoBlade 53261-0471"
"","","PBOOT1GND1","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","PBOOT0P1","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","PBOOT1P1","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","PBOOT03V31","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","PHFAC1","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1.2x2.5","","","",""
"","","PMotor1","PAD_SMD","pkl_misc:PAD_SMD","CRF1:1PAD_4x5mm","","","",""
"","","PMotor2","PAD_SMD","pkl_misc:PAD_SMD","CRF1:1PAD_4x5mm","","","",""
"","","PMotor3","PAD_SMD","pkl_misc:PAD_SMD","CRF1:1PAD_4x5mm","","","",""
"","","PMotor4","PAD_SMD","pkl_misc:PAD_SMD","CRF1:1PAD_4x5mm","","","",""
"","","PMotor5","PAD_SMD","pkl_misc:PAD_SMD","CRF1:1PAD_4x5mm","","","",""
"","","PMotor6","PAD_SMD","pkl_misc:PAD_SMD","CRF1:1PAD_4x5mm","","","",""
"","","PVSens1","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","PVSens2","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","PVSens3","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","PVSens4","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","PVSens5","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","PVSens6","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","P_PWM1","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","P_PWM2","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","P_PWM3","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","P_PWM4","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","P_PWM5","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","P_USART3_CLK1","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"","","R1","100R","device:R","Resistors_SMD:R_0603","","","",""
"","","R2","100R","device:R","Resistors_SMD:R_0603","","","",""
"","","R3","2k2","device:R","Resistors_SMD:R_0402","","","",""
"","","R4","0R","device:R","Resistors_SMD:R_0805","","","",""
"","","RDrLogic1","100R","device:R","Resistors_SMD:R_0603","","","",""
"","","RDrLogic2","100R","device:R","Resistors_SMD:R_0603","","","",""
"","","RDrLogic3","100R","device:R","Resistors_SMD:R_0603","","","",""
"","","RDrLogic4","100R","device:R","Resistors_SMD:R_0603","","","",""
"","","RDrLogic5","100R","device:R","Resistors_SMD:R_0603","","","",""
"","","RDrLogic6","100R","device:R","Resistors_SMD:R_0603","","","",""
"","","RHFAC1","100R","device:R","Resistors_SMD:R_0603_HandSoldering","","","",""
"","","RY1","R/DNP","device:R","Resistors_SMD:R_0603_HandSoldering","","","",""
"","","RY2","R/DNP","device:R","Resistors_SMD:R_0603_HandSoldering","","","",""
"","","RY3","R/DNP","device:R","Resistors_SMD:R_0603_HandSoldering","","","",""
"","","RY4","R/DNP","device:R","Resistors_SMD:R_0603_HandSoldering","","","",""
"","","RY5","R/DNP","device:R","Resistors_SMD:R_0603_HandSoldering","","","",""
"","","RY6","R/DNP","device:R","Resistors_SMD:R_0603_HandSoldering","","","",""
"","","RYOFFS1","20k","device:R","Resistors_SMD:R_0603_HandSoldering","","","",""
"","","RYS1","0R/DNP","device:R","Resistors_SMD:R_0603_HandSoldering","","","",""
"","","RYSGND1","20k","device:R","Resistors_SMD:R_0402","","","",""
"","","Radj1","165R","device:R","Resistors_SMD:R_0402","","","",""
"","","Rbatth1","10k","device:R","Resistors_SMD:R_0603","","","",""
"","","Rbattl1","1k5","device:R","Resistors_SMD:R_0603","","","",""
"","","Rcan1","NI","BLDC_4-rescue:R-RESCUE-BLDC_4","Resistors_SMD:R_0603_HandSoldering","","","",""
"","","Rcfilt1","20k","device:R","Resistors_SMD:R_0402","","","",""
"","","Rcfilt2","20k","device:R","Resistors_SMD:R_0402","","","",""
"","","Rcfilt3","20k","device:R","Resistors_SMD:R_0402","","","",""
"","","Rcfilt4","20k","device:R","Resistors_SMD:R_0402","","","",""
"","","Rcfilt5","20k","device:R","Resistors_SMD:R_0402","","","",""
"","","Rcfilt6","20k","device:R","Resistors_SMD:R_0402","","","",""
"","","Rhsens1","10k,0.1%","device:R","Capacitors_SMD:C_0603_HandSoldering","","","",""
"","","Rhsens2","10k,0.1%","device:R","Capacitors_SMD:C_0603_HandSoldering","","","",""
"","","Rhsens3","10k,0.1%","device:R","Capacitors_SMD:C_0603_HandSoldering","","","",""
"","","Rhsens4","10k,0.1%","device:R","Capacitors_SMD:C_0603_HandSoldering","","","",""
"","","Rhsens5","10k,0.1%","device:R","Capacitors_SMD:C_0603_HandSoldering","","","",""
"","","Rhsens6","10k,0.1%","device:R","Capacitors_SMD:C_0603_HandSoldering","","","",""
"","","Rled1","100R","BLDC_4-rescue:R-RESCUE-BLDC_4","Resistors_SMD:R_0402","","","",""
"","","Rled2","100R","BLDC_4-rescue:R-RESCUE-BLDC_4","Resistors_SMD:R_0402","","","",""
"","","Rlsens1","2k2,0.1%","device:R","Resistors_SMD:R_0402","","","",""
"","","Rlsens2","2k2,0.1%","device:R","Resistors_SMD:R_0402","","","",""
"","","Rlsens3","2k2,0.1%","device:R","Resistors_SMD:R_0402","","","",""
"","","Rlsens4","2k2,0.1%","device:R","Resistors_SMD:R_0402","","","",""
"","","Rlsens5","2k2,0.1%","device:R","Resistors_SMD:R_0402","","","",""
"","","Rlsens6","2k2,0.1%","device:R","Resistors_SMD:R_0402","","","",""
"","","Rthwn1","2k2","device:R","Resistors_SMD:R_0402","","","",""
"","","Rusb1","10k","device:R","Resistors_SMD:R_0402","","","",""
"","","Rusb2","22R","BLDC_4-rescue:R-RESCUE-BLDC_4","Resistors_SMD:R_0402","","","",""
"","","Rusb3","22R","BLDC_4-rescue:R-RESCUE-BLDC_4","Resistors_SMD:R_0402","","","",""
"","","R3vi1","2R7","device:R","Resistors_SMD:R_0805","","Filter resistor to Has to dissipate 1/4W.","",""
"","","U1","STM32F40X_LQFP64","crf_1:STM32F40X_LQFP64","CRF1:lqfp64_pad_mod","","","ST","STM32F405RGTx"
"","","U2","ISO1050","crf_1:ISO1050","CRF1:PDSO-G8","","","",""
"","","UDrmos1","DrMOS_SiC632A","pkl_drmos:DrMOS_SiC632A","DrMOS:MLP55-31L","http://www.vishay.com/docs/62992/sic632a.pdf","","Vishay","SiC632ACD-T1-GE3"
"","","UDrmos2","DrMOS_SiC632A","pkl_drmos:DrMOS_SiC632A","DrMOS:MLP55-31L","http://www.vishay.com/docs/62992/sic632a.pdf","","Vishay","SiC632ACD-T1-GE3"
"","","UDrmos3","DrMOS_SiC632A","pkl_drmos:DrMOS_SiC632A","DrMOS:MLP55-31L","http://www.vishay.com/docs/62992/sic632a.pdf","","Vishay","SiC632ACD-T1-GE3"
"","","UDrmos4","DrMOS_SiC632A","pkl_drmos:DrMOS_SiC632A","DrMOS:MLP55-31L","http://www.vishay.com/docs/62992/sic632a.pdf","","Vishay","SiC632ACD-T1-GE3"
"","","UDrmos5","DrMOS_SiC632A","pkl_drmos:DrMOS_SiC632A","DrMOS:MLP55-31L","http://www.vishay.com/docs/62992/sic632a.pdf","","Vishay","SiC632ACD-T1-GE3"
"","","UDrmos6","DrMOS_SiC632A","pkl_drmos:DrMOS_SiC632A","DrMOS:MLP55-31L","http://www.vishay.com/docs/62992/sic632a.pdf","","Vishay","SiC632ACD-T1-GE3"
"","","Ureg1","LTM8020","pkl_regulator:LTM8020","Regulators_User:Housings_LGA_21_6.25x6.25mm","http://cds.linear.com/docs/en/datasheet/8020fd.pdf","","Linear Technology","LTM8020V"
"","","Ureg2","LP2992AIM5-3.3","pkl_misc:LP2992AIM5-3.3","TO_SOT_Packages_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lp2992.pdf","","Texas Instruments","LP2992AIM5-3.3/NOPB"
"","","Usens1","ACS711","pkl_sensor:ACS711","Allegro:QFN-12-1EX_3x3mm_Pitch0.5mm","","","Allegro","ACS711KEXLT-31AB-T"
"","","Usens2","ACS711","pkl_sensor:ACS711","Allegro:QFN-12-1EX_3x3mm_Pitch0.5mm","","","Allegro","ACS711KEXLT-31AB-T"
"","","Usens3","ACS711","pkl_sensor:ACS711","Allegro:QFN-12-1EX_3x3mm_Pitch0.5mm","","","Allegro","ACS711KEXLT-31AB-T"
"","","Usens4","ACS711","pkl_sensor:ACS711","Allegro:QFN-12-1EX_3x3mm_Pitch0.5mm","","","Allegro","ACS711KEXLT-31AB-T"
"","","Usens5","ACS711","pkl_sensor:ACS711","Allegro:QFN-12-1EX_3x3mm_Pitch0.5mm","","","Allegro","ACS711KEXLT-31AB-T"
"","","Usens6","ACS711","pkl_sensor:ACS711","Allegro:QFN-12-1EX_3x3mm_Pitch0.5mm","","","Allegro","ACS711KEXLT-31AB-T"
"","","X1","MINI-USB-SHIELD-32005-201","crf_1:MINI-USB-SCHIELD-32005-201","CRF1:mini_USB_gnd","","","Cypress Industries","CCMUSBB-32005-201"
"","","X2","8MHz 10ppm","DrChibi-rescue:CRYSTAL_SMD-RESCUE-DrChibi","Crystals_User:Crystal_5x3mm","","","","ABM3B-8.0-10-1UT"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","Manufacturer","Part Number"
"1","10","C1, C2, C3, C4, Ccan1, Cmcu1, Cmcu2, Cmcu3, Cmcu4, C5vo1","2.2u","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0603","","","",""
"2","1","C5","100n","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0603","","","",""
"3","12","CDrGate1, CDrGate2, CDrGate3, CDrGate4, CDrGate5, CDrGate6, Cboot1, Cboot2, Cboot3, Cboot4, Cboot5, Cboot6","0.47uF","device:C","Capacitors_SMD:C_0603_HandSoldering","","X7R, >10V","",""
"4","6","CDrHV1, CDrHV2, CDrHV3, CDrHV4, CDrHV5, CDrHV6","10u,35V","device:C","Capacitors_SMD:C_1206","","dc link, X7R, >35V","",""
"5","6","CDrHVX1, CDrHVX2, CDrHVX3, CDrHVX4, CDrHVX5, CDrHVX6","C","device:C","Capacitors_SMD:C_1206","","","",""
"6","6","CDrHV1back1, CDrHV1back2, CDrHV1back3, CDrHV1back4, CDrHV1back5, CDrHV1back6","4.7u,35V","device:C","Capacitors_SMD:C_1206","","dc link, X7R, >35V","",""
"7","6","CDrHV2back1, CDrHV2back2, CDrHV2back3, CDrHV2back4, CDrHV2back5, CDrHV2back6","10u,35V","device:C","Capacitors_SMD:C_1206_HandSoldering","","dc link, X5R, >35V","",""
